FIPS,Attribute_x,Value_x,Attribute_y,Value_y,Attribute,Value
05083,ForeignBornPct,1.516503122,NumCivEmployed,9118.0,Median_HH_Inc_ACS,46570.0
05085,ForeignBornPct,2.549306459,NumCivEmployed,33081.0,Median_HH_Inc_ACS,62561.0
05087,ForeignBornPct,2.63700291,NumCivEmployed,6621.0,Median_HH_Inc_ACS,47862.0
05089,ForeignBornPct,1.946268657,NumCivEmployed,5728.0,Median_HH_Inc_ACS,41038.0
05091,ForeignBornPct,1.481049563,NumCivEmployed,16620.0,Median_HH_Inc_ACS,46610.0
05093,ForeignBornPct,1.62441246,NumCivEmployed,17443.0,Median_HH_Inc_ACS,45740.0
05095,ForeignBornPct,0.289729103,NumCivEmployed,2524.0,Median_HH_Inc_ACS,41667.0
05097,ForeignBornPct,2.697947214,NumCivEmployed,3119.0,Median_HH_Inc_ACS,41032.0
05099,ForeignBornPct,0.011990408,NumCivEmployed,3138.0,Median_HH_Inc_ACS,42670.0
05101,ForeignBornPct,0.953288847,NumCivEmployed,2667.0,Median_HH_Inc_ACS,42817.0
05103,ForeignBornPct,0.826843993,NumCivEmployed,8469.0,Median_HH_Inc_ACS,43338.0
05105,ForeignBornPct,0.735879077,NumCivEmployed,3782.0,Median_HH_Inc_ACS,47500.0
05107,ForeignBornPct,0.419547362,NumCivEmployed,5525.0,Median_HH_Inc_ACS,32235.0
05109,ForeignBornPct,3.449286691,NumCivEmployed,4359.0,Median_HH_Inc_ACS,46672.0
05111,ForeignBornPct,1.016715492,NumCivEmployed,9442.0,Median_HH_Inc_ACS,42854.0
05113,ForeignBornPct,4.051139864,NumCivEmployed,7466.0,Median_HH_Inc_ACS,43444.0
05115,ForeignBornPct,5.527089857,NumCivEmployed,26903.0,Median_HH_Inc_ACS,47322.0
05117,ForeignBornPct,0.180592343,NumCivEmployed,3573.0,Median_HH_Inc_ACS,47335.0
05119,ForeignBornPct,5.275035119,NumCivEmployed,187423.0,Median_HH_Inc_ACS,55235.0
05121,ForeignBornPct,3.551675523,NumCivEmployed,6961.0,Median_HH_Inc_ACS,42225.0
05123,ForeignBornPct,3.52199128,NumCivEmployed,8020.0,Median_HH_Inc_ACS,34981.0
05125,ForeignBornPct,2.955652942,NumCivEmployed,59150.0,Median_HH_Inc_ACS,68605.0
05127,ForeignBornPct,3.283642224,NumCivEmployed,4192.0,Median_HH_Inc_ACS,43577.0
05129,ForeignBornPct,0.673272358,NumCivEmployed,2905.0,Median_HH_Inc_ACS,39627.0
05131,ForeignBornPct,8.771230489,NumCivEmployed,58021.0,Median_HH_Inc_ACS,50226.0
05133,ForeignBornPct,16.99639169,NumCivEmployed,6657.0,Median_HH_Inc_ACS,49470.0
